name,latency,read_uncached,write,price
Corsair CMD16GX3M4A2666C11 4GB,19,19022,12486,$369.99*
Corsair CMD16GX3M4A2666C12 4GB,23,17240,11361,$199.99*
Corsair CMD16GX3M4A2800C11 4GB,24,15586,9704,NA
Corsair CMD16GX3M4A2800C12 4GB,21,16528,11394,$689.99*
Corsair CMD16GX3M4A2933C12 4GB,22,16583,11407,$289.99*
Corsair CMD16GX3M4B2133C9 4GB,23,15119,10910,$179.99*
Corsair CMD16GX3M4B2800C12 4GB,19,17559,11347,$199.99*
Corsair CMD32GX3M4A1600C10 8GB,28,13289,9053,$389.99*
Corsair CMD32GX3M4A1600C7 8GB,24,14578,10014,$359.99*
Corsair CMD32GX3M4A1600C9 8GB,26,13770,9479,$269.99*
Corsair CMD32GX3M4A1866C10 8GB,26,14383,10223,$567.95*
Corsair CMD32GX3M4A1866C9 8GB,25,13667,10442,$223.99*
Corsair CMD32GX3M4A2133C9 8GB,25,14159,10507,$279.99*
Corsair CMD32GX3M4A2400C10 8GB,24,14542,10466,$359.99*
Corsair CMD32GX3M4A2400C11 8GB,24,15673,11533,$289.99*
Corsair CMD32GX3M4A2666C12 8GB,26,14133,8865,$379.99*
Corsair CMD4GX3M2A1600C8 2GB,25,14288,9248,NA
Corsair CMD4GX3M2A1600C9 2GB,25,13668,9752,NA
Corsair CMD64GX3M8A2133C9 8GB,25,13283,10999,$629.99*
Corsair CMD64GX3M8A2400C11 8GB,22,15792,9462,$569.99*
Corsair CMD8GX3M2A1600C7 4GB,24,15820,9589,$99.99*
Corsair CMD8GX3M2A1600C8 4GB,24,14941,9196,$119.99*
Corsair CMD8GX3M2A1600C9 4GB,25,14095,8810,$69.99*
Corsair CMD8GX3M2A1866C9 4GB,23,15399,9881,$129.48*
Corsair CMD8GX3M2A2133C8 4GB,21,18116,10499,$134.99*
Corsair CMD8GX3M2A2133C9 4GB,21,16169,11301,$169.99*
Corsair CMD8GX3M2A2400C10 4GB,20,17108,11590,$99.99*
Corsair CMD8GX3M2A2400C11 4GB,23,16536,10684,$81.99*
Corsair CMD8GX3M2A2666C11 4GB,21,16345,10010,$169.99*
Corsair CMD8GX3M2A2666C12 4GB,20,16678,10711,$109.99*
Corsair CMD8GX3M2A2800C12 4GB,20,17312,11955,NA
Corsair CMD8GX3M2A2933C12 4GB,28,13453,9253,$99.99*
Corsair CMD8GX3M2B2133C9 4GB,22,15910,10518,$89.99*
Corsair CMD8GX3M4A1600C8 2GB,23,14835,9606,NA
Corsair CMG4GX3M2A2000C8 2GB,19,18409,12082,NA
Corsair CMG6GX3M3A2000C8 2GB,22,13140,8402,NA
Corsair CML16GX3M2A1600C10 8GB,27,13825,8629,$85.74
Corsair CML16GX3M2A1600C11 8GB,27,14151,8820,NA
Corsair CML16GX3M2A1600C9 8GB,26,14366,8981,$88.99
Corsair CML16GX3M2A1866C10 8GB,25,14851,9583,$174.07*
Corsair CML16GX3M2C1600C9 8GB,28,12165,7286,$243.18
Corsair CML16GX3M4A1600C9 4GB,26,13960,9432,$419.98
Corsair CML16GX3M4A1866C9 4GB,25,13977,10136,$169.99*
Corsair CML16GX3M4A2133C11 4GB,23,14945,11338,$154.99*
Corsair CML16GX3M4X1600C7 4GB,26,12992,9463,$129.99*
Corsair CML16GX3M4X1600C8 4GB,25,13924,9923,$379.99
Corsair CML32GX3M4A1600C10 8GB,28,12990,9560,$176.99
Corsair CML32GX3M4A1866C10 8GB,25,14393,10041,$298.71*
Corsair CML4GX3M1A1600C9 4GB,24,14791,8931,$82.28
Corsair CML4GX3M1X1600C7 4GB,24,14814,9166,$77.48*
