name,price,mark,value,single_thread,single_thread_value,tdp,powerperf,testdate,socket,category
Intel Core i5-8259U @ 2.30GHz,$671.63,10987,16.36,2213,3.30,28,392,Aug 2018,FCBGA1528,Laptop
Intel Core i5-8265U @ 1.60GHz,$297.00*,8200,27.61,2187,7.36,15,546,Sep 2018,FCBGA1528,Laptop
Intel Core i5-8300H @ 2.30GHz,$250.00*,9445,37.78,2296,9.19,45,209,May 2018,LGA 1151,Laptop
Intel Core i5-8305G @ 2.80GHz,NA,8892,NA,2093,NA,65,136,Jul 2018,BGA2270,Laptop
Intel Core i5-8350U @ 1.70GHz,$297.00*,8232,27.72,2102,7.08,15,548,Dec 2017,FC-BGA1356,Laptop
Intel Core i5-8400 @ 2.80GHz,$193.99,11630,59.96,2335,12.04,65,178,Oct 2017,FCLGA1151,Desktop
Intel Core i5-8400H @ 2.50GHz,$250.00*,9767,39.07,2459,9.84,45,217,Jul 2018,FCBGA1440,Laptop
Intel Core i5-8400T @ 1.70GHz,$199.00,9688,48.69,1930,9.70,35,276,May 2018,FCLGA1151,Desktop
Intel Core i5-8500 @ 3.00GHz,$349.28,11890,34.04,2407,6.89,65,182,Mar 2018,FCLGA1151,Desktop
Intel Core i5-8500B @ 3.00GHz,$192.00*,12639,65.83,2465,12.84,65,194,Jan 2019,FCBGA1440,Laptop
Intel Core i5-8500T @ 2.10GHz,$218.34*,10028,45.93,2048,9.38,35,286,Apr 2018,FCLGA1151,Desktop
Intel Core i5-8600 @ 3.10GHz,$244.47*,12638,51.70,2514,10.28,65,194,May 2018,FCLGA1151,Desktop
Intel Core i5-8600K @ 3.60GHz,$282.81,12767,45.15,2515,8.90,95,134,Oct 2017,FCLGA1151,Desktop
Intel Core i5-8600T @ 2.30GHz,$373.99*,10913,29.18,2209,5.91,35,311,Apr 2018,FCLGA1151,Desktop
Intel Core i5-9600K @ 3.70GHz,$263.00,13471,51.22,2683,10.20,95,141,Oct 2018,FCLGA1151,Desktop
Intel Core i7-2600 @ 3.40GHz,$149.00,8191,54.98,1921,12.90,95,86,Dec 2010,LGA1155,Desktop
Intel Core i7-2600K @ 3.40GHz,$189.99,8435,44.40,1939,10.21,95,88,Nov 2010,LGA1155,Desktop
Intel Core i7-2600S @ 2.80GHz,$199.99,7077,35.39,1805,9.03,65,108,Feb 2011,LGA1155,Desktop
Intel Core i7-2610UE @ 1.50GHz,NA,2481,NA,1079,NA,17,145,Jul 2012,BGA1023,Laptop
Intel Core i7-2617M @ 1.50GHz,NA,2818,NA,1161,NA,17,165,May 2011,BGA1023,Laptop
Intel Core i7-2620M @ 2.70GHz,$178.76,3837,21.47,1562,8.74,35,109,Jan 2011,BGA1023,Laptop
Intel Core i7-2630QM @ 2.00GHz,$229.95,5528,24.04,1312,5.71,45,122,Jan 2011,PGA988B,Laptop
Intel Core i7-2630UM @ 1.60GHz,NA,2584,NA,1028,NA,NA,NA,Aug 2013,NA,Laptop
Intel Core i7-2635QM @ 2.00GHz,NA,5456,NA,1291,NA,45,121,Feb 2011,BGA1224,Laptop
Intel Core i7-2637M @ 1.70GHz,NA,2898,NA,1203,NA,17,170,Dec 2011,BGA1023,Laptop
Intel Core i7-2640M @ 2.80GHz,$185.97*,3927,21.12,1592,8.56,35,112,Oct 2011,BGA1023,Laptop
Intel Core i7-2655LE @ 2.20GHz,NA,3161,NA,1356,NA,25,126,Apr 2011,BGA1023,Desktop
Intel Core i7-2670QM @ 2.20GHz,$259.00,5885,22.72,1393,5.38,45,130,Sep 2011,PGA988B,Laptop
Intel Core i7-2675QM @ 2.20GHz,NA,5533,NA,1297,NA,45,122,Sep 2011,BGA1224,Laptop
Intel Core i7-2677M @ 1.80GHz,NA,2817,NA,1182,NA,17,165,Jul 2011,BGA1023,Laptop
Intel Core i7-2700K @ 3.50GHz,$195.00,8704,44.64,2006,10.29,95,91,Oct 2011,LGA1155,Desktop
Intel Core i7-2710QE @ 2.10GHz,NA,5768,NA,1384,NA,45,128,Sep 2011,PGA988B,Laptop
Intel Core i7-2715QE @ 2.10GHz,NA,5365,NA,1271,NA,45,119,Sep 2011,BGA1023,Laptop
Intel Core i7-2720QM @ 2.20GHz,$189.95*,6118,32.21,1461,7.70,45,135,Jan 2011,BGA1224,Laptop
Intel Core i7-2760QM @ 2.40GHz,$159.81*,6572,41.13,1592,9.96,45,146,Sep 2011,BGA1224,Laptop
Intel Core i7-2820QM @ 2.30GHz,$355.95*,6639,18.65,1555,4.37,45,147,Feb 2011,BGA1224,Laptop
Intel Core i7-2840QM @ 2.40GHz,NA,6766,NA,1658,NA,NA,NA,Sep 2012,rPGA988B,Laptop
Intel Core i7-2860QM @ 2.50GHz,$599.99*,6990,11.65,1651,2.75,45,155,Sep 2011,BGA1224,Laptop
Intel Core i7-2920XM @ 2.50GHz,$509.95,7039,13.80,1653,3.24,55,127,Feb 2011,FCPGA988,Laptop
Intel Core i7-2960XM @ 2.70GHz,$409.95*,7210,17.59,1692,4.13,55,131,Oct 2011,PGA988B,Laptop
Intel Core i7-3517U @ 1.90GHz,NA,3589,NA,1410,NA,17,211,Jun 2012,BGA1023,Laptop
Intel Core i7-3517UE @ 1.70GHz,NA,3323,NA,1289,NA,17,195,Jun 2012,BGA1023,Laptop
Intel Core i7-3520M @ 2.90GHz,$235.00*,4544,19.34,1781,7.58,35,129,Jun 2012,BGA1023,Laptop
Intel Core i7-3537U @ 2.00GHz,NA,3841,NA,1510,NA,17,225,Jan 2013,BGA1023,Laptop
Intel Core i7-3540M @ 3.00GHz,$429.95*,4657,10.83,1829,4.26,35,133,Jan 2013,rPGA988B,Laptop
Intel Core i7-3555LE @ 2.50GHz,NA,4130,NA,1643,NA,25,165,Jun 2012,BGA1023,Laptop
Intel Core i7-3610QE @ 2.30GHz,NA,6451,NA,1375,NA,45,143,Apr 2012,rPGA988B,Laptop
Intel Core i7-3610QM @ 2.30GHz,$399.99*,7463,18.66,1637,4.09,45,165,Apr 2012,PGA988B,Laptop
Intel Core i7-3612QE @ 2.10GHz,NA,6712,NA,1505,NA,35,191,Oct 2012,BGA1224,Laptop
Intel Core i7-3612QM @ 2.10GHz,NA,6820,NA,1520,NA,35,194,May 2012,"PGA988B, FCBGA12",Laptop
Intel Core i7-3615QE @ 2.30GHz,NA,7340,NA,1724,NA,45,163,Apr 2012,BGA1224,Laptop
Intel Core i7-3615QM @ 2.30GHz,NA,7386,NA,1646,NA,45,164,May 2012,BGA1224,Laptop
Intel Core i7-3630QM @ 2.40GHz,$239.00*,7584,31.73,1684,7.05,45,168,Jan 2012,rPGA988B,Laptop
Intel Core i7-3632QM @ 2.20GHz,$362.40,6939,19.15,1565,4.32,35,198,Sep 2012,rPGA988B,Laptop
Intel Core i7-3635QM @ 2.40GHz,NA,6673,NA,1528,NA,45,148,Jan 2012,NA,Laptop
Intel Core i7-3667U @ 2.00GHz,NA,3992,NA,1564,NA,17,234,Jun 2012,BGA1023,Laptop
Intel Core i7-3687U @ 2.10GHz,NA,4186,NA,1634,NA,17,246,Jan 2013,BGA1023,Laptop
Intel Core i7-3689Y @ 1.50GHz,NA,3220,NA,1240,NA,13,247,Jan 2013,FCBGA1023,Laptop
Intel Core i7-3720QM @ 2.60GHz,$359.00*,8125,22.63,1818,5.07,45,180,Apr 2012,BGA1224,Laptop
Intel Core i7-3740QM @ 2.70GHz,$239.95*,8335,34.74,1873,7.81,45,185,Sep 2012,rPGA988B,Laptop
Intel Core i7-3770 @ 3.40GHz,$198.99,9285,46.67,2068,10.39,77,120,Mar 2012,LGA1155,Desktop
Intel Core i7-3770K @ 3.50GHz,$289.00,9513,32.92,2082,7.21,77,123,Apr 2012,LGA1155,Desktop
Intel Core i7-3770S @ 3.10GHz,$109.99,8891,80.84,2025,18.42,65,136,May 2012,LGA1155,Desktop
Intel Core i7-3770T @ 2.50GHz,$329.99*,8204,24.86,1934,5.86,45,182,May 2012,LGA1155,Desktop
Intel Core i7-3820 @ 3.60GHz,$429.00,8995,20.97,1943,4.53,130,69,Jan 2012,LGA2011,Desktop
Intel Core i7-3820QM @ 2.70GHz,$486.99*,8439,17.33,1847,3.79,45,187,May 2012,BGA1224,Laptop
Intel Core i7-3840QM @ 2.80GHz,$335.00*,8791,26.24,1916,5.72,45,195,Aug 2012,rPGA988B,Laptop
Intel Core i7-3920XM @ 2.90GHz,"$1,096.00*",9152,8.35,1997,1.82,55,166,May 2012,FCPGA988,Laptop
Intel Core i7-3930K @ 3.20GHz,$398.98,11985,30.04,1934,4.85,130,92,Nov 2011,LGA2011,Desktop
Intel Core i7-3940XM @ 3.00GHz,$539.00*,9293,17.24,2021,3.75,55,168,Oct 2012,rPGA988B,Laptop
Intel Core i7-3960X @ 3.30GHz,"$1,009.78",12610,12.49,1985,1.97,130,97,Nov 2011,LGA2011,Desktop
Intel Core i7-3970X @ 3.50GHz,$909.99*,12672,13.93,2013,2.21,150,84,Jan 2012,LGA2011,Desktop
Intel Core i7-4500U @ 1.80GHz,NA,3789,NA,1561,NA,15,252,Jan 2013,BGA1168,Laptop
Intel Core i7-4510U @ 2.00GHz,NA,3927,NA,1636,NA,15,261,May 2014,FCBGA1168,Laptop
Intel Core i7-4550U @ 1.50GHz,NA,3713,NA,1518,NA,15,247,Feb 2014,BGA1168,Laptop
Intel Core i7-4558U @ 2.80GHz,NA,4388,NA,1711,NA,28,156,Jan 2013,BGA1168,Laptop
Intel Core i7-4560U @ 1.60GHz,NA,4329,NA,1806,NA,NA,NA,Mar 2016,NA,Laptop
Intel Core i7-4578U @ 3.00GHz,NA,4780,NA,1988,NA,28,170,Sep 2014,FCBGA1168,Laptop
Intel Core i7-4600M @ 2.90GHz,NA,4885,NA,1951,NA,37,132,Oct 2013,PGA946,Laptop
Intel Core i7-4600U @ 2.10GHz,NA,4103,NA,1696,NA,15,273,Jul 2013,FCBGA1168,Laptop
Intel Core i7-4610M @ 3.00GHz,NA,4950,NA,1984,NA,37,133,Jun 2014,"FPGA946,FPGA947",Laptop
Intel Core i7-4610Y @ 1.70GHz,NA,3746,NA,1581,NA,11.5,325,Jan 2013,BGA1168,Desktop
Intel Core i7-4650U @ 1.70GHz,NA,3965,NA,1696,NA,15,264,Jan 2013,BGA1168,Laptop
Intel Core i7-4700EQ @ 2.40GHz,NA,7180,NA,1815,NA,47,152,Jun 2013,FCBGA1364,Desktop
Intel Core i7-4700HQ @ 2.40GHz,$383.00*,7724,20.17,1789,4.67,47,164,Jan 2013,FCBGA1364,Laptop
Intel Core i7-4700MQ @ 2.40GHz,$189.00*,7690,40.69,1807,9.56,47,163,Jun 2013,rPGA946B,Laptop
Intel Core i7-4702HQ @ 2.20GHz,NA,7428,NA,1699,NA,37,200,Apr 2013,FCBGA1364,Laptop
Intel Core i7-4702MQ @ 2.20GHz,$336.25*,7127,21.20,1702,5.06,37,192,Jan 2013,FCPGA946,Laptop
Intel Core i7-4710HQ @ 2.50GHz,NA,7731,NA,1821,NA,47,164,May 2014,FCBGA1364,Laptop
Intel Core i7-4710MQ @ 2.50GHz,$271.57*,7998,29.45,1900,7.00,47,170,Apr 2014,FCPGA946,Laptop
Intel Core i7-4712HQ @ 2.30GHz,NA,7508,NA,1756,NA,37,202,Jun 2014,FCBGA1364,Laptop
Intel Core i7-4712MQ @ 2.30GHz,NA,7205,NA,1746,NA,37,194,May 2014,FCPGA946,Laptop
Intel Core i7-4720HQ @ 2.60GHz,NA,7999,NA,1909,NA,47,170,Dec 2014,BGA1364,Laptop
Intel Core i7-4722HQ @ 2.40GHz,NA,8052,NA,1952,NA,37,217,Jul 2015,FCBGA1364,Laptop
Intel Core i7-4750HQ @ 2.00GHz,NA,8234,NA,1741,NA,47,175,Jun 2013,FCBGA1364,Laptop
Intel Core i7-4760HQ @ 2.10GHz,NA,8595,NA,1797,NA,47,182,Oct 2014,FCBGA1364,Laptop
Intel Core i7-4765T @ 2.00GHz,$399.99,7309,18.27,1694,4.24,35,208,Apr 2013,FCLGA1150,Desktop
Intel Core i7-4770 @ 3.40GHz,$199.00,9787,49.18,2227,11.20,84,116,Jun 2013,LGA1150,Desktop
Intel Core i7-4770HQ @ 2.20GHz,NA,8948,NA,1892,NA,47,190,Oct 2014,FCBGA1364,Laptop
Intel Core i7-4770K @ 3.50GHz,$265.00,10087,38.07,2251,8.50,84,120,Jun 2013,LGA1150,Desktop
Intel Core i7-4770R @ 3.20GHz,NA,9822,NA,2146,NA,65,151,Jan 2014,FCBGA1364,Desktop
Intel Core i7-4770S @ 3.10GHz,$249.99,9340,37.37,2170,8.68,65,143,Jun 2013,LGA1150,Desktop
Intel Core i7-4770T @ 2.50GHz,$399.99,8587,21.47,2066,5.17,45,190,Jan 2013,LGA1150,Desktop
Intel Core i7-4770TE @ 2.30GHz,NA,6732,NA,1574,NA,45,149,Jul 2015,LGA1150,Desktop
Intel Core i7-4771 @ 3.50GHz,$299.99,9871,32.91,2217,7.39,84,117,Jan 2013,LGA1150,Desktop
Intel Core i7-4785T @ 2.20GHz,NA,7609,NA,1777,NA,35,217,Jun 2014,FCLGA1150,Desktop
Intel Core i7-4790 @ 3.60GHz,$278.99,9989,35.81,2282,8.18,84,118,May 2014,FCLGA1150,Desktop
Intel Core i7-4790K @ 4.00GHz,$465.91,11176,23.99,2529,5.43,88,127,Jun 2014,LGA1150,Desktop
Intel Core i7-4790S @ 3.20GHz,$464.00,9572,20.63,2246,4.84,65,147,Jun 2014,LGA1150,Desktop
Intel Core i7-4790T @ 2.70GHz,$359.00*,9078,25.29,2170,6.04,45,201,May 2014,LGA1150,Desktop
Intel Core i7-4800MQ @ 2.70GHz,$509.95*,8474,16.62,1993,3.91,47,180,Jan 2013,rPGA946B,Laptop
Intel Core i7-4810MQ @ 2.80GHz,$424.95*,8650,20.36,2061,4.85,47,184,Mar 2014,FCPGA946,Laptop
Intel Core i7-4820K @ 3.70GHz,$340.06,9716,28.57,2012,5.92,130,74,Jul 2013,FCLGA2011,Desktop
Intel Core i7-4850HQ @ 2.30GHz,$434.00*,9022,20.79,1946,4.49,47,191,Jul 2013,FCBGA1364,Laptop
Intel Core i7-4860EQ @ 1.80GHz,NA,7875,NA,1755,NA,47,167,Nov 2015,FCBGA1364,Laptop
Intel Core i7-4860HQ @ 2.40GHz,NA,9270,NA,1963,NA,47,197,Aug 2014,FCBGA1364,Laptop
Intel Core i7-4870HQ @ 2.50GHz,NA,9362,NA,2048,NA,47,199,Aug 2014,FCBGA1364,Laptop
Intel Core i7-4900MQ @ 2.80GHz,$586.67*,9027,15.39,2080,3.55,47,192,Jan 2013,FCPGA946,Laptop
Intel Core i7-4910MQ @ 2.90GHz,$459.95*,9398,20.43,2157,4.69,47,199,May 2014,FCPGA946,Laptop
Intel Core i7-4930K @ 3.40GHz,$397.99,13013,32.70,1995,5.01,130,100,Jan 2013,LGA2011,Desktop
Intel Core i7-4930MX @ 3.00GHz,"$1,096.00*",9493,8.66,2173,1.98,57,166,Jan 2013,FCPGA946,Laptop
Intel Core i7-4940MX @ 3.10GHz,$709.95*,9905,13.95,2264,3.19,57,173,Mar 2014,"FPGA946,FPGA947",Laptop
Intel Core i7-4960HQ @ 2.60GHz,$623.00*,9807,15.74,2164,3.48,47,208,Sep 2013,FCBGA1364,Laptop
Intel Core i7-4960X @ 3.60GHz,$849.99,13800,16.24,2078,2.45,130,106,Jan 2013,LGA2011,Desktop
Intel Core i7-4980HQ @ 2.80GHz,NA,10230,NA,2250,NA,47,217,Aug 2014,FCBGA1364,Laptop
Intel Core i7-5500U @ 2.40GHz,NA,3981,NA,1547,NA,15,265,Jan 2015,FCBGA1168,Laptop
Intel Core i7-5550U @ 2.00GHz,NA,3686,NA,1512,NA,15,245,Apr 2016,FCBGA1168,Laptop
Intel Core i7-5557U @ 3.10GHz,$705.00*,4948,7.02,1892,2.68,28,176,Mar 2015,FCBGA1168,Laptop
Intel Core i7-5600U @ 2.60GHz,NA,4317,NA,1661,NA,15,287,Jan 2015,FCBGA1168,Laptop
Intel Core i7-5650U @ 2.20GHz,NA,4224,NA,1668,NA,15,281,Mar 2015,FCBGA1168,Laptop
Intel Core i7-5675C @ 3.10GHz,NA,8164,NA,2196,NA,65,125,Oct 2015,LGA1150,Desktop
Intel Core i7-5700EQ @ 2.60GHz,NA,8239,NA,1968,NA,47,175,Aug 2015,FCBGA1364,Laptop
Intel Core i7-5700HQ @ 2.70GHz,NA,8366,NA,1999,NA,47,178,Jun 2015,FCBGA1364,Laptop
Intel Core i7-5775C @ 3.30GHz,$449.99,10984,24.41,2228,4.95,65,168,Jun 2015,FCLGA1150,Desktop
Intel Core i7-5775R @ 3.30GHz,NA,10857,NA,2147,NA,65,167,May 2016,LGA1150,Desktop
Intel Core i7-5820K @ 3.30GHz,$299.99,12986,43.29,2021,6.74,140,92,Sep 2014,LGA2011-v3,Desktop
Intel Core i7-5850EQ @ 2.70GHz,$435.00*,9817,22.57,1964,4.52,47,208,Nov 2018,FCBGA1364,Laptop
Intel Core i7-5850HQ @ 2.70GHz,$434.00*,9459,21.80,2076,4.78,47,201,Dec 2015,FCBGA1364,Laptop
Intel Core i7-5930K @ 3.50GHz,$636.53,13630,21.41,2100,3.30,140,97,Aug 2014,LGA2011-v3,Desktop
Intel Core i7-5950HQ @ 2.90GHz,NA,10932,NA,2247,NA,47,232,Jul 2015,FCBGA1364,Laptop
Intel Core i7-5960X @ 3.00GHz,"$1,012.43",15949,15.75,1996,1.97,140,113,Aug 2014,LGA2011-v3,Desktop
Intel Core i7-610 @ 2.53GHz,NA,1969,NA,NA,NA,35,56,Apr 2011,BGA1288,Unknown
Intel Core i7-610E @ 2.53GHz,NA,2544,NA,1377,NA,35,72,Nov 2011,BGA1288,Laptop
Intel Core i7-620LM @ 2.00GHz,NA,1955,NA,930,NA,25,78,Apr 2010,rPGA988A,Laptop
Intel Core i7-620M @ 2.67GHz,$159.95,2722,17.02,1213,7.59,35,77,Jan 2010,BGA1288,Laptop
Intel Core i7-620UM @ 1.07GHz,NA,1323,NA,589,NA,18,73,Mar 2010,BGA1288,Laptop
Intel Core i7-640LM @ 2.13GHz,NA,2261,NA,1071,NA,25,90,Feb 2010,BGA1288,Laptop
Intel Core i7-640M @ 2.80GHz,$199.95,2831,14.16,1300,6.50,35,80,Oct 2010,BGA1288,Laptop
Intel Core i7-640UM @ 1.20GHz,NA,1658,NA,818,NA,18,92,Jun 2010,BGA1288,Laptop
Intel Core i7-6498DU @ 2.50GHz,NA,4538,NA,1681,NA,15,302,Nov 2016,BGA1356,Laptop
Intel Core i7-6500U @ 2.50GHz,NA,4428,NA,1642,NA,15,295,Sep 2015,FCBGA1356,Laptop
Intel Core i7-6560U @ 2.20GHz,NA,4801,NA,1712,NA,15,320,Feb 2016,NA,Laptop
Intel Core i7-6567U @ 3.30GHz,NA,5656,NA,2007,NA,28,202,Feb 2016,FCBGA1356,Laptop
Intel Core i7-6600U @ 2.60GHz,NA,4804,NA,1806,NA,15,320,Sep 2015,FCBGA1356,Laptop
Intel Core i7-660UM @ 1.33GHz,NA,1745,NA,800,NA,18,96,Nov 2010,BGA1288,Laptop
Intel Core i7-6650U @ 2.20GHz,NA,4960,NA,1809,NA,15,330,Nov 2015,FCBGA1356,Laptop
Intel Core i7-6700 @ 3.40GHz,$335.00,10005,29.87,2154,6.43,65,153,Sep 2015,LGA 1151,Desktop
Intel Core i7-6700HQ @ 2.60GHz,$378.00*,8131,21.51,1799,4.76,45,180,Aug 2015,FCBGA1440,Laptop
Intel Core i7-6700K @ 4.00GHz,$315.00,11107,35.26,2352,7.47,95,116,Jul 2015,LGA1151,Desktop
Intel Core i7-6700T @ 2.80GHz,$355.00*,9036,25.45,1977,5.57,35,258,Oct 2015,LGA 1151,Desktop
Intel Core i7-6700TE @ 2.40GHz,NA,8696,NA,1922,NA,35,248,Jun 2016,LGA 1151,Desktop
Intel Core i7-6770HQ @ 2.60GHz,"$1,001.88*",9724,9.71,1907,1.90,45,216,Apr 2016,FCBGA1440,Laptop
Intel Core i7-6800K @ 3.40GHz,$419.99,13586,32.35,2064,4.92,140,97,May 2016,LGA2011-v3,Desktop
Intel Core i7-680UM @ 1.47GHz,NA,1710,NA,851,NA,18,95,Feb 2011,BGA1288,Laptop
Intel Core i7-6820EQ @ 2.80GHz,NA,8758,NA,1904,NA,45,194,Jun 2016,FCBGA1440,Laptop
Intel Core i7-6820HK @ 2.70GHz,NA,9119,NA,1883,NA,45,202,Oct 2015,FCBGA1440,Laptop
Intel Core i7-6820HQ @ 2.70GHz,NA,8784,NA,1881,NA,45,195,Nov 2015,FCBGA1440,Laptop
Intel Core i7-6822EQ @ 2.00GHz,NA,6427,NA,1370,NA,25,257,Feb 2016,LGA 1151,Laptop
Intel Core i7-6850K @ 3.60GHz,$399.81,14367,35.94,2188,5.47,140,102,Jun 2016,FCLGA2011-3,Desktop
Intel Core i7-6900K @ 3.20GHz,"$1,028.83",17691,17.20,2188,2.13,140,126,Jun 2016,FCLGA2011-3,Desktop
Intel Core i7-6920HQ @ 2.90GHz,$568.00*,9610,16.92,2018,3.55,45,213,Feb 2016,FCBGA1440,Laptop
Intel Core i7-6950X @ 3.00GHz,"$1,409.90",19955,14.15,2150,1.52,140,142,Jun 2016,LGA2011-v3,Desktop
Intel Core i7-720QM @ 1.60GHz,$109.95*,3011,27.39,871,7.92,45,66,Oct 2009,PGA988A,Laptop
Intel Core i7-740QM @ 1.73GHz,$109.95*,3196,29.08,917,8.35,45,71,Jun 2010,PGA988A,Laptop
Intel Core i7-7500U @ 2.70GHz,NA,5165,NA,1919,NA,15,344,Oct 2016,FCBGA1356,Laptop
Intel Core i7-7560U @ 2.40GHz,NA,5871,NA,2104,NA,15,391,Mar 2017,BGA1356,Laptop
Intel Core i7-7567U @ 3.50GHz,NA,6496,NA,2263,NA,28,232,Mar 2017,BGA1356,Laptop
Intel Core i7-7600U @ 2.80GHz,NA,5071,NA,1960,NA,15,338,Jan 2017,FCBGA1356,Laptop
Intel Core i7-7660U @ 2.50GHz,NA,6048,NA,2184,NA,15,403,May 2017,BGA1356,Laptop
Intel Core i7-7700 @ 3.60GHz,$319.99,10739,33.56,2347,7.33,65,165,Dec 2016,LGA1151,Desktop
Intel Core i7-7700HQ @ 2.80GHz,NA,8826,NA,2002,NA,45,196,Dec 2016,FCBGA1440,Laptop
Intel Core i7-7700K @ 4.20GHz,$379.00,12038,31.76,2583,6.82,95,126,Oct 2016,LGA 1151,Desktop
Intel Core i7-7700T @ 2.90GHz,$841.00,9275,11.03,2038,2.42,35,265,Feb 2017,FCLGA1151,Desktop
Intel Core i7-7740X @ 4.30GHz,$599.99*,12268,20.45,2626,4.38,112,109,Jul 2017,FCLGA2066,Desktop
Intel Core i7-7800X @ 3.50GHz,$339.99,14586,42.90,2256,6.64,140,104,Jun 2017,FCLGA2066,Desktop
Intel Core i7-7820HK @ 2.90GHz,NA,10007,NA,2087,NA,45,222,Jan 2017,NA,Laptop
Intel Core i7-7820HQ @ 2.90GHz,$378.00*,9316,24.65,2055,5.44,45,207,Feb 2017,FCBGA1440,Laptop
Intel Core i7-7820X @ 3.60GHz,$549.99,18542,33.72,2410,4.38,140,132,Jun 2017,FCLGA2066,Desktop
Intel Core i7-7900X @ 3.30GHz,NA,20153,NA,2455,NA,140,143,Aug 2017,FCLGA2066,Desktop
Intel Core i7-7920HQ @ 3.10GHz,NA,10039,NA,2112,NA,45,223,Apr 2017,FCBGA1440,Laptop
Intel Core i7-7Y75 @ 1.30GHz,NA,3757,NA,1444,NA,4.5,834,Oct 2016,FCBGA1515,"Desktop, Laptop"
Intel Core i7-8086K @ 4.00GHz,$552.96*,16673,30.15,2835,5.13,95,175,Jun 2018,FCLGA1151,Desktop
Intel Core i7-820QM @ 1.73GHz,$139.00*,3229,23.24,974,7.01,45,71,Oct 2009,PGA988A,Laptop
Intel Core i7-840QM @ 1.87GHz,$289.97*,3405,11.74,1011,3.49,45,75,Jul 2010,PGA988A,Laptop
Intel Core i7-8500Y @ 1.50GHz,$393.00*,3287,8.37,1059,2.70,5,657,Oct 2018,FCBGA1515,Laptop
Intel Core i7-8550U @ 1.80GHz,NA,8309,NA,2145,NA,15,553,Aug 2017,FC-BGA1356,Laptop
Intel Core i7-8559U @ 2.70GHz,NA,12098,NA,2551,NA,28,432,Aug 2018,FCBGA1528,Laptop
Intel Core i7-8565U @ 1.80GHz,NA,9296,NA,2410,NA,15,619,Aug 2018,FCBGA1356,Laptop
Intel Core i7-860 @ 2.80GHz,$87.99,5006,56.89,1231,13.99,95,52,Sep 2009,LGA1156,Desktop
Intel Core i7-860S @ 2.53GHz,$422.01,4711,11.16,1336,3.17,82,57,Apr 2011,LGA1156,Desktop
Intel Core i7-8650U @ 1.90GHz,NA,8833,NA,2254,NA,15,588,Aug 2017,FC-BGA1356,Laptop
Intel Core i7-870 @ 2.93GHz,$95.00,5338,56.19,1302,13.71,95,56,Sep 2009,LGA1156,Desktop
Intel Core i7-8700 @ 3.20GHz,$419.00,15134,36.12,2627,6.27,65,232,Oct 2017,FCLGA1151,Desktop
Intel Core i7-8700B @ 3.20GHz,$303.00*,14891,49.15,2757,9.10,65,229,Jan 2019,LGA 1151,Laptop
Intel Core i7-8700K @ 3.70GHz,$404.99,15963,39.42,2702,6.67,95,168,Oct 2017,FCLGA1151,Desktop
Intel Core i7-8700T @ 2.40GHz,$373.08*,12648,33.90,2351,6.30,35,361,Mar 2018,FCLGA1151,Desktop
Intel Core i7-8705G @ 3.10GHz,NA,10025,NA,2233,NA,65,154,Feb 2018,BGA2270,Laptop
Intel Core i7-8706G @ 3.10GHz,NA,10512,NA,2284,NA,65,161,Jul 2018,BGA2270,Laptop
Intel Core i7-8709G @ 3.10GHz,NA,9536,NA,2177,NA,100,95,Nov 2018,BGA2270,Laptop
Intel Core i7-870S @ 2.67GHz,NA,4969,NA,1344,NA,82,60,Dec 2010,LGA1156,Desktop
Intel Core i7-8750H @ 2.20GHz,$395.00*,12468,31.57,2358,5.97,45,277,Apr 2018,FCBGA1440,Laptop
Intel Core i7-875K @ 2.93GHz,$485.01,5430,11.20,1295,2.67,95,57,Jun 2010,LGA1156,Desktop
Intel Core i7-880 @ 3.07GHz,$583.00*,5525,9.48,1360,2.33,95,58,Jul 2010,LGA1156,Desktop
Intel Core i7-8809G @ 3.10GHz,NA,11020,NA,2354,NA,100,110,Mar 2018,BGA2270,Laptop
Intel Core i7-8850H @ 2.60GHz,$395.00*,13159,33.32,2486,6.30,45,292,Apr 2018,FCBGA1440,Laptop
Intel Core i7-920 @ 2.67GHz,$174.00,4922,28.29,1166,6.70,130,37,Nov 2008,LGA1366,Desktop
Intel Core i7-920XM @ 2.00GHz,"$3,375.00",3729,1.10,1049,0.31,55,67,Nov 2009,PGA988B,Laptop
Intel Core i7-930 @ 2.80GHz,$129.99,5140,39.55,1217,9.37,130,39,Feb 2010,LGA1366,Desktop
Intel Core i7-940 @ 2.93GHz,$297.00,5350,18.01,1276,4.30,130,41,Dec 2008,LGA1366,Desktop
Intel Core i7-940XM @ 2.13GHz,NA,3937,NA,1084,NA,55,71,Jul 2010,PGA988,Laptop
Intel Core i7-950 @ 3.07GHz,$209.00,5551,26.56,1326,6.35,130,42,Jun 2009,LGA1366,Desktop
Intel Core i7-960 @ 3.20GHz,$99.99,5811,58.12,1387,13.87,130,44,Oct 2009,LGA1366,Desktop
Intel Core i7-965 @ 3.20GHz,$359.00,5856,16.31,1387,3.87,130,45,Nov 2008,LGA1366,Desktop
Intel Core i7-970 @ 3.20GHz,$149.98,8373,55.83,1395,9.31,130,64,Jul 2010,LGA1366,Desktop
Intel Core i7-9700K @ 3.60GHz,$409.99,17225,42.01,2821,6.88,95,181,Oct 2018,LGA 1151,Desktop
