name,price,mark,value,single_thread,single_thread_value,tdp,powerperf,testdate,socket,category
AMD A8-5500 APU,$56.50,3993,70.68,1270,22.49,65,61,Jun 2012,FM2,Desktop
AMD A8-5500B APU,NA,3975,NA,1280,NA,65,61,Mar 2013,FM2,Desktop
AMD A8-5545M APU,NA,2585,NA,835,NA,19,136,Aug 2013,FP2,Laptop
AMD A8-5550M APU,NA,3003,NA,992,NA,35,85,Jul 2013,FS1r2,Laptop
AMD A8-5557M APU,NA,2963,NA,1009,NA,35,84,Jul 2013,FP2,Laptop
AMD A8-5600K APU,$229.30,4344,18.95,1377,6.01,100,43,Oct 2012,FM2,Desktop
AMD A8-6410 APU,NA,2570,NA,885,NA,15,171,Jun 2014,BGA769 (FT3b),Laptop
AMD A8-6500 APU,$94.99,4388,46.20,1438,15.15,65,67,Aug 2013,FM2,Desktop
AMD A8-6500B APU,NA,4612,NA,1481,NA,65,70,Apr 2014,FM2,Desktop
AMD A8-6500T APU,NA,3221,NA,1051,NA,45,71,Mar 2014,FM2,Desktop
AMD A8-6600K APU,$96.99,4585,47.28,1461,15.07,100,45,Jun 2013,FM2,Desktop
AMD A8-7050,NA,1986,NA,1030,NA,15,132,Jan 2016,NA,Laptop
AMD A8-7100 APU,NA,2805,NA,962,NA,19,147,Aug 2014,FP3,Laptop
AMD A8-7200P,NA,3319,NA,992,NA,35,94,Jul 2015,FP3,Laptop
AMD A8-7410 APU,NA,2735,NA,922,NA,25,109,Jun 2015,NA,Laptop
AMD A8-7600 APU,$79.99,5073,63.43,1543,19.29,65,78,Jul 2014,FM2+,Desktop
AMD A8-7650K,$119.99,4931,41.10,1462,12.19,65,75,Feb 2015,FM2+,Desktop
AMD A8-7670K,$161.10*,5083,31.55,1528,9.49,95,53,Sep 2015,FM2+,Desktop
AMD A8-7680,$56.14,5314,94.66,1618,28.82,45,118,Jan 2019,FM2+,Laptop
AMD A8-8600P,NA,3248,NA,1143,NA,15,216,Aug 2015,FP4,Laptop
AMD A8-8650,NA,5470,NA,1611,NA,65,84,Nov 2015,FM2+,Desktop
AMD A8-9600,$71.70,4998,69.71,1575,21.98,65,76,Apr 2017,AM4,Desktop
AMD A9-9400,NA,2309,NA,1357,NA,10,230,Dec 2016,FP4,Laptop
AMD A9-9410,NA,2555,NA,1530,NA,25,102,Jul 2016,FP4,Laptop
AMD A9-9420,NA,2324,NA,1409,NA,15,154,Aug 2017,NA,Laptop
AMD A9-9420e,NA,1908,NA,1118,NA,NA,NA,Apr 2018,NA,Laptop
AMD A9-9425,NA,2639,NA,1563,NA,15,175,Jun 2018,BGA (FT4),Laptop
AMD A9-9430,NA,2543,NA,1505,NA,NA,NA,Dec 2017,NA,Desktop
AMD Athlon 1500+,NA,294,NA,422,NA,NA,NA,Mar 2009,NA,Unknown
AMD Athlon 1640B,$50.00*,667,13.34,776,15.53,45,14,May 2009,AM2,Desktop
AMD Athlon 2000+,NA,390,NA,NA,NA,NA,NA,Aug 2009,NA,Unknown
AMD Athlon 200GE,$59.99,4971,82.88,1630,27.18,35,142,Sep 2018,AM4,Desktop
AMD Athlon 2100+,NA,412,NA,NA,NA,NA,NA,Dec 2010,NA,Unknown
AMD Athlon 2200+,$79.99*,363,4.55,NA,NA,NA,NA,Sep 2009,NA,Unknown
AMD Athlon 2400+,NA,462,NA,NA,NA,NA,NA,Sep 2009,NA,Unknown
AMD Athlon 2500+,$183.99*,374,2.04,NA,NA,NA,NA,Jun 2009,NA,Unknown
AMD Athlon 2600+,$104.95*,444,4.23,NA,NA,NA,NA,Jun 2010,NA,Unknown
AMD Athlon 2650e,$19.00*,409,21.56,462,24.34,NA,NA,Jan 2009,NA,Unknown
AMD Athlon 2800+,$139.95*,447,3.20,674,4.82,89,5,Mar 2009,754,Unknown
AMD Athlon 2850e,NA,504,NA,491,NA,22,22,Nov 2009,AM2,Desktop
AMD Athlon 3100+,NA,485,NA,NA,NA,NA,NA,Mar 2009,NA,Unknown
AMD Athlon 3200+,$60.00*,458,7.63,NA,NA,62,7,Aug 2010,AM2,Unknown
AMD Athlon 4,$99.99,279,2.80,NA,NA,NA,NA,Mar 2009,NA,Unknown
AMD Athlon 5000 Dual-Core,$16.98,1292,76.13,746,43.97,65,19,Oct 2009,"AM2,AM2+",Desktop
AMD Athlon 5150 APU,$159.95,2103,13.15,633,3.96,25,84,Apr 2014,"AM1,FS1b",Desktop
AMD Athlon 5200 Dual-Core,$71.59,1248,17.44,739,10.32,75,16,Dec 2010,AM2,Desktop
AMD Athlon 5350 APU,$338.46*,2605,7.70,807,2.39,25,104,Mar 2014,"AM1,FS1B",Desktop
AMD Athlon 5370 APU,$63.70*,2900,45.53,873,13.71,25,116,Apr 2016,"AM1,FS1B",Desktop
AMD Athlon 64 2000+,NA,116,NA,130,NA,8,14,Nov 2013,NA,Unknown
AMD Athlon 64 2200+,NA,575,NA,NA,NA,NA,NA,Sep 2011,NA,Unknown
