name,size,mark,price,value,date,type
addlink SSD S10 240GB,223.6 GB,3674,NA,NA,Apr 2017,SSD
addlink SSD S10 512GB,476.9 GB,3190,NA,NA,Apr 2018,SSD
AFOX SSD 240GB,223.6 GB,3604,NA,NA,May 2018,SSD
AFOX SSD 256GB,223.6 GB,2585,NA,NA,Dec 2016,SSD
Aireye S1 120GB SSD,111.8 GB,2660,NA,NA,Dec 2016,SSD
Aireye S1 240GB SSD,223.6 GB,2638,NA,NA,Oct 2016,SSD
Apacer A S510S 64GB,59.6 GB,2537,NA,NA,Aug 2014,SSD
Apacer A7202,59.6 GB,999,NA,NA,Sep 2009,Unknown
Apacer AS220 128GB,119.2 GB,1492,NA,NA,Mar 2015,SSD
Apacer AS2280 128GB,119.2 GB,2347,NA,NA,Oct 2016,SSD
Apacer AS2280 240GB,223.6 GB,3854,NA,NA,Sep 2016,SSD
Apacer AS330 120GB,111.8 GB,3282,NA,NA,Mar 2016,SSD
Apacer AS330 240GB,223.6 GB,3380,NA,NA,May 2016,SSD
Apacer AS330 480GB,447.1 GB,3722,$139.99*,26.59,Nov 2016,SSD
Apacer AS340 120GB,111.8 GB,2518,NA,NA,Nov 2016,SSD
Apacer AS340 240GB,223.6 GB,3437,NA,NA,Dec 2016,SSD
Apacer AS350 120GB,111.8 GB,2503,NA,NA,Dec 2017,SSD
Apacer AS350 240GB,223.6 GB,2990,NA,NA,Aug 2018,SSD
Apacer AS450 240GB,223.6 GB,2059,NA,NA,Sep 2018,SSD
Apacer AS510S 128GB,119.2 GB,1279,NA,NA,Jan 2015,SSD
Apacer AS510S 256GB,238.5 GB,2497,NA,NA,Aug 2014,SSD
Apacer AS510S 64GB,59.6 GB,2248,NA,NA,Aug 2014,SSD
Apacer AS610S 120GB,111.8 GB,3110,NA,NA,Jan 2015,SSD
Apacer AS681 120GB,111.8 GB,2336,NA,NA,Dec 2016,SSD
Apacer AS681 240GB,223.6 GB,3063,NA,NA,Jan 2017,SSD
Apacer AST280 120GB,111.8 GB,3337,NA,NA,Jul 2017,SSD
Apacer AST280 240GB,223.6 GB,3590,NA,NA,Mar 2017,SSD
Apacer AST680S 240GB,223.6 GB,2804,NA,NA,Sep 2015,SSD
Apacer Z280 120G,111.8 GB,9854,NA,NA,Dec 2017,SSD
Apacer Z280 240G,223.6 GB,10262,NA,NA,Jan 2017,SSD
APOTOP SSD S3C,238.5 GB,2730,NA,NA,Aug 2014,SSD
APPLE HDD HTS541010A9E632,931.5 GB,413,NA,NA,Jun 2017,HDD
APPLE HDD HTS541010A9E662,931.5 GB,492,NA,NA,Dec 2012,HDD
APPLE HDD HTS541075A9E662,698.6 GB,475,NA,NA,Mar 2015,HDD
APPLE HDD HTS541075A9E682,698.6 GB,301,NA,NA,Jun 2013,HDD
APPLE HDD HTS545050A7E36,465.8 GB,645,NA,NA,May 2015,HDD
APPLE HDD HTS545050A7E362,465.8 GB,501,NA,NA,Nov 2012,HDD
APPLE HDD HTS547575A9E384,698.6 GB,402,NA,NA,May 2013,HDD
APPLE HDD HTS727575A9E362,698.6 GB,565,NA,NA,Nov 2012,HDD
APPLE HDD ST1000DM003,931.5 GB,874,NA,NA,Jan 2013,HDD
APPLE HDD ST1000LM024,931.5 GB,519,NA,NA,Dec 2012,HDD
APPLE HDD ST2000DM001,1.8 TB,836,NA,NA,Jan 2016,HDD
APPLE HDD ST3000DM001,2.7 TB,972,NA,NA,Jan 2013,HDD
APPLE HDD ST500LM012,465.8 GB,593,NA,NA,Sep 2013,HDD
APPLE HDD TOSHIBA MK7559GSXF,698.6 GB,433,NA,NA,Jun 2013,HDD
APPLE HDD WD10EZES-40UFAA0,931.5 GB,829,NA,NA,May 2014,HDD
APPLE HDD WDC WD10EALX-408EA0,931.5 GB,600,NA,NA,Mar 2013,HDD
APPLE SSD SD0128F,113 GB,3522,NA,NA,Sep 2013,SSD
APPLE SSD SD0256F,233.8 GB,4512,NA,NA,Oct 2013,SSD
APPLE SSD SD256E,233.8 GB,3326,NA,NA,Feb 2013,SSD
APPLE SSD SD512E,465.9 GB,3348,NA,NA,Feb 2013,SSD
APPLE SSD SM0128F,113 GB,3816,NA,NA,Dec 2014,SSD
APPLE SSD SM0128G,113 GB,7242,NA,NA,Mar 2015,SSD
APPLE SSD SM0256F,233.8 GB,5728,NA,NA,Jun 2013,SSD
APPLE SSD SM0256G,233.8 GB,9689,NA,NA,Mar 2015,SSD
APPLE SSD SM0512F,465.9 GB,6143,NA,NA,Jun 2013,SSD
APPLE SSD SM0512G,465.9 GB,11360,NA,NA,May 2015,SSD
APPLE SSD SM1024F,931.8 GB,7082,NA,NA,Nov 2013,SSD
APPLE SSD SM1024G,931.8 GB,11861,NA,NA,Apr 2015,SSD
APPLE SSD SM128C,30.7 GB,1383,NA,NA,Feb 2011,SSD
APPLE SSD SM128E,113 GB,3002,NA,NA,Feb 2013,SSD
APPLE SSD SM256C,233.8 GB,1339,NA,NA,Dec 2012,SSD
APPLE SSD SM256C,80.4 GB,959,NA,NA,Feb 2011,SSD
APPLE SSD SM256E,233.8 GB,3684,NA,NA,Jun 2012,SSD
APPLE SSD SM512E,465.9 GB,3757,NA,NA,Jun 2012,SSD
APPLE SSD SM768E,699.7 GB,3800,NA,NA,Oct 2012,SSD
APPLE SSD TS0128F,113 GB,3141,NA,NA,May 2014,SSD
APPLE SSD TS064C,56.5 GB,1165,NA,NA,Nov 2013,SSD
APPLE SSD TS064E,56.5 GB,2895,NA,NA,Jul 2014,SSD
