name,latency,read_uncached,write,price
Apacer Technology 78.AAGA0.9L4 2GB,48,5124,2426,NA
Apacer Technology 78.AAGA0.BS4 2GB,58,4961,2799,NA
ARM Ltd. iMICE Ltd:0MM0M006 2GB,44,6073,2579,NA
ASint Technology B19J5LB4DN-H01 2GB,50,4613,2068,NA
ASint Technology B19J5LB4DNH 2GB,85,3986,2822,NA
ASint Technology B19J5S73DN1 1GB,91,1115,500,NA
ASint Technology B1YJ5S73FN1 1GB,101,1281,874,NA
ASint Technology B1YJ5SG4FN1 2GB,116,1484,1078,NA
ASint Technology B2YJ2SG4FN1 2GB,79,4006,2977,NA
ASint Technology B2YJUS73FN1 1GB,145,844,966,NA
ASint Technology B2YJUSG4FN1 2GB,68,3808,2017,NA
ASint Technology B3KJ2SG3DN1 1GB,64,1246,1195,NA
ASint Technology BW9J2LB4FNG 2GB,67,4231,2641,NA
ASint Technology BW9J2LF4FN1 2GB,49,4947,2294,NA
ASint Technology BWHJ2LF4FN1 2GB,47,4585,1944,NA
ASint Technology SSY2128M8-JGE1F 1GB,66,3099,1451,NA
ASint Technology SSY2128M8-JGE3B 1GB,99,1839,1248,NA
ASint Technology SSZ2128M8-JGE1F 2GB,65,2341,1428,NA
ASint Technology SSZ2128M8-JGE3B 2GB,56,2703,1764,NA
ASint Technology WLZ2128M8-JGE 2GB,57,3905,1601,NA
ASint Technology WLZ2128M8-JGE3B 2GB,47,2777,1364,NA
ASint Technology WSZ2128M8-JGE3B 2GB,147,1272,538,NA
"Asrock, Inc. ZED220-B0A71-P100 1GB",48,4171,2119,NA
Atla Electronics Co. Ltd. AD2LHJ2GM1WB-8FG 2GB,74,3033,860,NA
Buffalo (Formerly Melco) D2P667-2GME 2GB,66,2928,1339,NA
Cannon VCOLOR-TD2G16C6-S6 2GB,75,3890,2751,NA
Catalyst 01GN80KFUA8 1GB,47,4546,2085,NA
Centon Electronics JIYS38UFA 1GB 1GB,103,1918,1015,NA
Centon Electronics JIYS38UXB 1GB 1GB,48,3668,1936,NA
Centon Electronics JIYT38UXC 1GB 1GB,68,3258,2167,NA
Centon Electronics MICS38UFB 2GB 2GB,63,2870,1444,NA
Centon Electronics MICS38UXA 2GB 2GB,58,3907,1434,NA
Centon Electronics MICT38UFA 2GB 2GB,56,4161,1783,NA
Centon Electronics MICT38UXB 2GB 2GB,60,4089,2253,NA
Centon Electronics MICT48UFA 2GB 2GB,53,4517,1715,NA
CompuStocx (CSX) Compustocx (CSX) 4GB,55,6570,4050,NA
CompuStocx (CSX) CompuStocx(CSX) 2GB,61,3866,2004,NA
Corsair CGM2X1G800 1GB,46,5249,2106,NA
Corsair CGM2X2G800 2GB,54,4402,2029,NA
Corsair CGM2X2GS800 2GB,47,4797,1730,NA
Corsair CM2GSDS800D2 2GB,54,4963,2013,NA
Corsair CM2X1024-5400C4 1GB,61,3598,1882,$46.55*
Corsair CM2X1024-5400C4PRO 1GB,39,5547,2400,NA
Corsair CM2X1024-6400 1GB,53,4417,2108,$14.99
Corsair CM2X1024-6400C3D 1GB,37,6172,2354,NA
Corsair CM2X1024-6400C4 1GB,50,5047,2203,NA
Corsair CM2X1024-6400C4D 1GB,50,4533,1985,NA
Corsair CM2X1024-6400C4DHX 1GB,48,4931,2182,NA
Corsair CM2X1024-6400C4PRO 1GB,56,3940,1960,NA
Corsair CM2X1024-6400C5DHX 1GB,51,4608,2053,NA
Corsair CM2X1024-8500C5 1GB,42,5670,2405,NA
Corsair CM2X1024-8500C5D 1GB,47,5646,2534,NA
Corsair CM2X2048-6400C4DHX 2GB,49,5348,2478,NA
Corsair CM2X2048-6400C4PRO 2GB,47,4799,1912,NA
Corsair CM2X2048-6400C5 2GB,54,4931,2441,$18.99
Corsair CM2X2048-6400C5DHX 2GB,50,5187,2363,NA
Corsair CM2X2048-8500C5 2GB,50,5649,2821,NA
Corsair CM2X2048-8500C5C 2GB,54,5231,2799,NA
Corsair CM2X2048-8500C5D 2GB,47,5800,2716,NA
Corsair CM2X2048-8500C7 2GB,52,5695,2594,NA
Corsair CM2X512-5400C4 512MB,53,3577,1852,NA
Corsair CM2X512A-6400 512MB,50,4469,1566,NA
Corsair CMD4GX2M2A1066C5 2GB,45,6235,2707,NA
Corsair CMG4GX2M2A1066C5 2GB,46,6260,3008,NA
Corsair VS1GB533D2 1GB,61,3200,1679,$13.99*
Corsair VS1GB667D2 1GB,58,3829,1780,$7.99
Corsair VS1GB800D2 1GB,47,4680,1361,NA
Corsair VS1GSDS533D2 1GB,86,1761,895,$13.99*
Corsair VS1GSDS667D2 1GB,78,2330,1177,$13.99*
Corsair VS2GB667D2 2GB,58,4182,1921,$22.99*
Corsair VS2GB800D2 2GB,56,4651,2315,$49.99
Corsair VS2GSDS667D2 2GB,66,3413,1475,$65.16
Corsair VS2GSDS800D2 2GB,61,3878,1763,$114.99
Corsair VS4GSDS800D2 4GB,56,4599,1941,$149.95
Corsair VS512MB533D2 512MB,57,3187,1343,NA
Corsair VS512MB667D2 512MB,56,3387,1576,NA
Crucial Technology BL12864AA106A.8FE5 1GB,53,5170,2604,NA
Crucial Technology BL12864AA106A.8FH5 1GB,47,6238,2972,NA
Crucial Technology BL12864AA80A.8FE5 1GB,52,4373,2274,NA
Crucial Technology BL12864AA80A.8FH5 1GB,46,4938,2189,NA
Crucial Technology BL12864AL106A.8FE5 1GB,47,5867,2654,NA
Crucial Technology BL25664AA106A.16FH 2GB,47,5267,2348,NA
Crucial Technology BL25664AA80A.16FE5 2GB,51,5215,2625,NA
Crucial Technology BL25664AA80A.16FH5 2GB,58,4785,2865,NA
Crucial Technology BL25664AA80E.16FH 2GB,51,4549,2330,NA
Crucial Technology BL25664AL80A.16FE5 2GB,52,4807,2183,NA
Crucial Technology BL25664AL80A.16FH5 2GB,37,6608,2378,NA
Crucial Technology BL25664AR80A.16FE5 2GB,51,5074,2267,NA
Crucial Technology BL25664AR80A.16FH5 2GB,43,5545,2476,NA
Crucial Technology BL25664UK80A.16FE5 2GB,49,4534,2136,NA
Crucial Technology BLS2G2D80EBS1S00.1 2GB,58,4709,2608,$30.99*
Crucial Technology CT12864AA667.C8FMD 1GB,46,5328,2221,$11.29
Crucial Technology CT12864AA667.K8F 1GB,49,4345,1870,$15.49*
Crucial Technology CT12864AA667.M16FG 1GB,54,4232,2232,$23.99*
Crucial Technology CT12864AA667.M8FH 1GB,50,3578,1629,$52.35*
