name,cpu_score,gpu_score,rank
HMD Global Nokia 6 (Various Models),4000,72686,449
HMD Global Nokia 6.1,5898,115075,248
HMD Global Nokia 6.1 Plus,7552,148471,165
HMD Global Nokia 7 plus,9356,174856,109
HMD Global Nokia 8 (Various Models),13429,201330,42
HMD Global TA-1020,2436,40075,681
HMD Global TA-1027,3679,73777,495
HMD Global TA-1028,2510,39320,673
HMD Global TA-1039,4191,68730,425
Honeywell CT60,6392,108871,222
HTC 10 (Various Models),7640,75037,160
HTC 10 evo,5462,70213,282
HTC 2PZC100,12641,198097,59
HTC 2PZC5,13348,212240,46
HTC HTC6525LVW,3671,97278,497
HTC HTC6535LVW,6146,90828,235
HTC HTC_2Q4D100,13721,193684,40
HTC HTC_U-3u,13284,210448,47
HTC M8,4169,88758,428
HTC Nexus 9,8635,178030,122
HTC One,2673,67937,652
HTC One M8s,3682,80398,494
HTC One M9,6350,90504,225
HTC One M9PLUS,4112,81987,437
HTC One_M8,3754,103331,485
HTC U Ultra,8838,72099,114
HTC U11,13151,205234,49
HTC U11 life,5819,110954,250
HTC U11 plus,13765,197301,39
HTC U12+,16533,230796,6
Huawei AGS-W09,2623,47492,657
Huawei ALP-L09,12067,176678,70
Huawei ANE-LX1,4518,117845,376
Huawei ANE-LX2,4436,120486,385
Huawei ANE-LX2J,4505,120717,377
Huawei ANE-LX3,4404,121108,390
Huawei BAC-AL00,4158,118645,432
Huawei BAH-W09,4159,70033,431
Huawei BKL-L09,11881,175526,77
Huawei BLL-L21,4348,112317,401
Huawei BLL-L22,4318,115075,406
Huawei BLL-L23,4261,107898,415
Huawei BND-AL10,4649,118235,361
Huawei BND-L24,4523,119277,374
Huawei BND-L34,4657,119361,360
Huawei CLT-L09,12370,195638,64
Huawei CLT-L29,11906,193618,75
Huawei CMR-W09,10775,156398,96
Huawei COL-L29,12017,184936,71
Huawei CPN-W09,4159,73377,430
Huawei EML-L09,12015,183249,72
Huawei FIG-LX1,4540,119398,373
Huawei GRA-L09,4204,93129,424
Huawei GRA-UL00,3077,57259,616
Huawei GRACE,4089,90047,440
Huawei H1611,3023,86885,622
Huawei H1711,3687,64868,493
Huawei H60-L04,3510,102047,536
Huawei Honor 5C (Various Models),4417,111998,389
Huawei Honor 6X (Various Models),4298,113440,409
Huawei Honor 7 Lite,4276,115015,413
Huawei Honor 8 (Various Models),7132,181490,185
Huawei Honor 8 Premium (Various Models),6707,162422,207
Huawei Honor 8 Pro,10762,176647,97
Huawei Honor 9,10591,178203,99
Huawei Honor Play,13012,198082,51
Huawei JSN-L21,8677,179410,121
Huawei KIW-L21,3232,72490,596
Huawei KIW-L24,3565,76078,517
Huawei LDN-LX2,3416,71286,552
Huawei LLD-AL10,4270,118185,414
Huawei LLD-L21,4549,116809,372
Huawei LLD-L31,4496,120330,378
Huawei LYO-L21,2996,41767,627
Huawei Mate 10 (Various Models),11899,175646,76
Huawei Mate 10 Pro (Various Models),12121,175971,67
Huawei Mate 20,16936,214106,4
Huawei Mate 20 Pro (Various Models),19985,242718,1
Huawei Mate 8 (Various Models),6951,186985,195
Huawei Mate 9 (Various Models),9938,173159,103
Huawei Mate 9 Pro,10289,185237,102
Huawei MediaPad M3 (Various Models),7552,176599,166
Huawei MYA-L02,3392,49909,559
Huawei MYA-L11,3511,49491,535
Huawei MYA-L41,3600,50191,509
Huawei Nexus 6P,6298,95711,229
Huawei NMO-L31,4305,105874,408
Huawei Nova (Various Models),5308,115714,306
Huawei P10 (Various Models),10397,183571,101
Huawei P10 Plus (Various Models),11761,207199,80
Huawei P20,13818,200811,38
Huawei P8 Lite,4239,111788,420
Huawei P9 (Various Models),6066,173300,238
Huawei P9 Plus (Various Models),6777,170718,204
Huawei PLK-L01,4355,94715,399
Huawei PRA-LA1,4253,112041,417
Huawei PRA-LX2,4295,111271,410
Huawei PRA-LX3,4181,109583,427
Huawei RNE-L01,4466,117078,380
Huawei RNE-L21,4550,118868,371
Huawei RNE-L22,4147,109103,433
Huawei RNE-L23,4623,116216,364
Huawei SHT-W09,12079,177442,69
Huawei SNE-LX1,7834,174883,150
Huawei TRT-LX2,3671,72418,496
Huawei VNS-L21,4354,111552,400
Huawei VNS-L22,4399,109698,391
Huawei VNS-L23,4423,111037,388
Huawei VNS-L31,4224,109114,423
Huawei WAS-LX1,4334,112706,404
Huawei WAS-LX1A,4379,114481,397
Huawei WAS-LX2,4306,110513,407
Huawei WAS-LX2J,4334,110783,403
Huawei WAS-LX3,4295,113221,411
Infinix mobility limited Infinix X604,4398,99679,392
Infinix X603,5205,122738,314
Jiayu Lenovo A7000-a,3166,84284,603
Jiayu S3,3724,78663,489
Lava Z91,2086,47295,709
Lemobile Le X526,5166,120520,319
Lemobile Le X527,5772,122273,255
Lemobile Le X620,5688,148135,266
Lemobile Le X820,7853,76019,149
Lemobile Le X821,7126,97770,186
Lemobile Le X829,7623,105626,162
Lemobile LEX626,5531,151388,278
Lemobile LEX720,8793,81757,118
Lemobile LEX722,8070,68339,136
Lemobile LEX727,9838,83360,104
Lemobile LEX820,9219,115472,110
Lemobile LEX829,7266,81698,179
Lemobile X526,5647,114270,270
Lemobile X527,5789,129048,253
Lenovo A6020a40,2573,56289,665
Lenovo A7010a48,3757,66560,484
Lenovo A7020a48,3554,82435,520
Lenovo K31-t3,2132,37591,704
Lenovo K33a42,3610,72643,507
Lenovo K53a48,3670,71765,498
Lenovo K8 Note,6187,145913,232
Lenovo K8 Plus,4736,115754,358
Lenovo P1a42,3420,73095,551
Lenovo P1ma40,2461,31060,678
Lenovo P2a42,5437,117412,284
Lenovo P70-A,3784,97084,483
Lenovo PB2-650Y,2776,42029,642
Lenovo S1La40,3959,68357,459
Lenovo TAB 2 A10-70F,3607,54800,508
Lenovo TB-7304F,1819,39940,723
Lenovo TB-8504F,2540,46757,672
Lenovo TB-8703F,5478,115411,281
Lenovo TB-8704F,5511,114639,279
Lenovo TB-X103F,1740,36481,725
Lenovo TB-X304F,2598,47268,661
Lenovo TB-X704F,5627,115078,272
Lenovo TB-X704L,5627,112715,273
Lenovo TB3-730X,2174,31210,695
Lenovo TB3-X70F,3408,44363,554
Lenovo Vibe K5 Plus,3593,78849,511
Lenovo YT-X703F,7053,122327,193
Letv Le X509,4392,88913,393
LG D805,3410,65003,553
LG D851,3243,70630,590
LG D852,3242,89872,591
LG D855,3550,77863,522
LG F460L,3475,63459,539
LG F700L,7596,67168,163
LG F800L,7017,78421,194
LG G Flex2,5813,74290,252
LG G Pad 8.3 (V500),2545,72417,671
LG G2 (D802),3330,78899,568
LG G4 (Various Models),4604,78262,368
LG G5 (Various Models),7943,79951,144
LG G6 (Various Models),8443,73772,127
LG G710,16176,233524,9
LG H811,5321,87419,304
LG H818,4386,69302,396
LG H870DS,8050,70587,137
LG H871,7391,53079,174
LG H872,7663,68854,158
LG H931,11390,185502,86
LG H933,11662,174885,83
LG isai (LGL22),3217,61706,599
LG K220,2783,44875,641
LG K430,3034,68559,621
LG K550,3323,76096,570
LG LGL83BL,2547,49411,670
LG LGL84VL,2485,49239,675
LG LGLS755,3319,89184,571
LG LGLS775,2081,42811,710
LG LGLS991,4980,89961,335
LG LGMP260,2141,40119,702
LG LGMP450,3207,72022,601
LG LGMS210,1992,38463,715
LG LGMS550,3116,72925,612
LG LGUS991,4020,72251,446
LG LM-G710,16204,225604,8
